Document Key,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

blog/website
book-chapter/section
book-entire
book-pamphlet
book-report/report section
journal-article
magazine-article
manuscript
newspaper-article
newspaper-supplement-article
review-book
thesis/dissertation",Author Name,Article Ttitle,"Article Sort Title

All articles (a, an, the) and spaces before the first and after the last words removed in this column

All punctuation removed, INCLUDING COLONS, QUOTATION MARKS, AND APOSTROPHES so that only letters are considered when the website alphabetizes","Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Day,Month,Year,"Standardized Date 

(yyyy-mm-dd)","Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,"Location of Physical Copy 

(for archival sources)","Place of Publication

for maps on website

also for browse by publication location feature","Permission Obtained

(date, point of contact, pertinent details)",Cost,Permission Acknowledgements & Other Notes,"Permission Statements

statements provided here replace the website's general permission statement 

For documents published outside the United States, make sure to use any permission statement already written. For new countries, a standard publication statement should be written which follows the model of permission statements provided here.","Acquisitions information
DailyDemocraticStateJournal1853,newspaper-article,,"No title,","No title,",<i>Sacramento (CA) Daily Democratic State Journal</i>,"3,",no. 201,13,October,1853,1853-10-13,2,V.E. Geiger,,,,"Sacramento, California",Public domain,,,,,,,
DailyEveningHerald1853,newspaper-article,,"""The Wild Woman of California,""",Wild Woman of California,<i>Marysville (CA) Daily Evening Herald</i>,"4,",no. 76,3,November,1853,1853-11-03,2,,,,,"Marysville, California",Public domain,,,,,,,
DailyIndependent1883,newspaper-article,,"""Otter Hunting. The Sharp Shooters of the Sea. The War upon the Furry Beauties of the Kelp. Five Hundred Dollar Skins and How They Are Obtained—A Difficult but Profitable Industry,""",Otter Hunting. The Sharp Shooters of the Sea. The War upon the Furry Beauties of the Kelp. Five Hundred Dollar Skins and How They Are Obtained—A Difficult but Profitable Industry,<i>Santa Barbara (CA) Daily Independent</i>,"2,",no. 8,8,November,1883,1883-11-08,4,,,,,"Santa Barbara, California",Public domain,,,,,,,
DailyIndependent1892,newspaper-article,,"""The Town in Brief,"" ",Town in Brief,<i>Santa Barbara (CA) Daily Independent</i>,"18, ",no. 107,11,March,1892,1892-03-11,4,,,,,"Santa Barbara, California",Public domain,,,,,,,
DailyNews1853,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Savannah (GA) Daily Morning News</i>,"4, ",no. 249,5,November,1853,1853-11-05,1,,,,,"Savannah, Georgia",Public domain,,,,,,,
DailyNewsAndIndependent1916,newspaper-article,,"""Lobsters Being Exterminated by Ravenous Fish. George Nidevar Brings from Story from Islands of Havoc Wrought,"" ",Lobsters Being Exterminated by Ravenous Fish. George Nidevar Brings from Story from Islands of Havoc Wrought,<i>Santa Barbara (CA) Daily News and Independent</i>,"The Daily News: 22, The Independent: 35
,","The Daily News: no. 121, The Indepedent: no. 301",29,February,1916,1916-02-29,3,,,,,"Santa Barbara, California",Public domain,,,,,,,
DailyPeople1906,newspaper-article,"[Frank Gassaway],","""A Woman Crusoe,"" ",Woman Crusoe ,<i>New York Daily People</i>,"6, ",no. 226,11,February,1906,1906-02-11,7,,,,,"New York, New York",Public domain,,,,,,,
DailyPlacerTimesAndTranscript1853,newspaper-article,,"""The Female Robinson Crusoe—Ladies' Fair,""",Female Robinson Crusoe—Ladies Fair,<i>San Francisco Daily Placer Times and Transcript</i>,"5, ",no. 1119,14,November,1853,1853-11-14,2,,,,,"San Francisco, California",Public domain,,,,,,,
DavenportMorningTribune1889,newspaper-article,,"""A Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years,"" ",Female Crusoe. A Woman Left Alone on an Uninhabited Island for Fifteen Years ,<i>Davenport (IA) Morning Tribune</i>,"2,",,28,March,1889,1889-03-28,4,,,,,"Davenport, Iowa",Public domain,,,,,,,
Davidson1943_TB,newspaper-article,"Garber Davidson,","""Archeologists Bare Channel Islands' Secret; Story of Mother Love Delayed 90 Years. Ghost on San Nicholas Island, Was Indian Mother Who Would Not Leave Her Baby,""","Archeologists Bare Channel Islands Secret; Story of Mother Love Delayed 90 Years. Ghost on San Nicholas Island, Was Indian Mother Who Would Not Leave Her Baby",<i>Danville (VA) Bee</i>,,,19,July,1943,1943-07-19,8,,,,,"Danville, Virginia","Permission granted
 
Robert Benson 
Editor 
Danville Register & Bee 
email Sara-->Rachel 3 Oct 2014",,"Courtesy of the Danville Register & Bee, Danville, VA. ","Courtesy of the Danville Register & Bee, Danville, VA. ",,,,
Davidson1943_TGDN,newspaper-article,"Garber Davidson,","""Ghost of California Island Is Discovered to Be Indian,"" ",Ghost of California Island Is Discovered to Be Indian,<i>Galveston (TX) Daily News</i>,"102,",no. 100,19,July,1943,1943-07-19,8,,,,,"Galveston, Texas",Permission otained,,"The following MUST APPEAR at the end of the article.  The best way to do this, I think, is to add it at the very end of the transcription.  

ʺCopyright 2013 The Galveston County Daily News. Republished with permission of The Galveston County Daily News. No further republication or redistribution is permitted w/o the written consent of The Daily News.ʺ 

[See website: http://www.galvestondailynews.com/site/reprints.html -- blanket permission granted on the website]",Copyright 2013 The Galveston County Daily News. Republished with permission of The Galveston County Daily News. No further republication or redistribution is permitted w/o the written consent of The Daily News.,,,,
DecaturDailyReview1879,newspaper-article,,"""A Feminine Crusoe. Alone on a Dreary Desert Island for 18 Years,"" ",Feminine Crusoe. Alone on a Dreary Desert Island for 18 Years ,<i>Decatur (IL) Daily Review</i>,"6, ",no. 151,27,February,1879,1879-02-27,3,,,,,"Decatur, Illinois",Public domain,,,,,,,
DemocratAndChronicle1892,newspaper-article,,"""Covered with Skeletons. The Story of San Nicolas Island and Its Last Inhabitant,"" ",Covered with Skeletons. The Story of San Nicolas Island and Its Last Inhabitant,<i>Rochester (NY) Democrat and Chronicle</i>,"60, ",no. 75,28,March,1892,1892-03-28,4,,,,,"Rochester, New York",Public domain,,,,,,,
DemocratAndChronicle1894,newspaper-article,,"""Romance of the Sea. Relics of a Lost Tribe of Indians Were Found,"" ",Romance of the Sea. Relics of a Lost Tribe of Indians Were Found,<i>Rochester (NY) Democrat and Chronicle</i>,"62, ",no. 364,30,December,1894,1894-12-30,10,,,,,"Rochester, New York",Public domain,,,,,,,
DemocratAndChronicle1901,newspaper-article,,"""Channel Islands Land of Romance. Homes of Lost Islanders to be Visited by Explorers. Rich Fields for Work. Questions as to the Archipelago Off the California Coast—Countless Skulls and One Live Woman of St. Nicholas,"" ",Channel Islands Land of Romance. Homes of Lost Islanders to be Visited by Explorers. Rich Fields for Work. Questions as to the Archipelago Off the California Coast—Countless Skulls and One Live Woman of St. Nicholas,<i>Rochester (NY) Democrat and Chronicle</i>,"69,",,7,January,1901,1901-01-07,3,,,,,"Rochester, New York",Public domain,,,,,,,
DemocraticHerald1901,newspaper-article,"[M.E. Dudley],","""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast,"" ",Woman of San Nicolas Island. A Strange Story of the Pacific Coast,<i>Clyde (NY) Democratic Herald</i>,"16, ",no. 35,23,October,1901,1901-10-23,,,,,,"Clyde, New York",Public domain,,,,,,,
Eames1893,newspaper-article,"Ninetta Eames, ","""The Island of San Nicholas. The Lone Woman Who Was the Last of Her Race. A Broad Plateau Literally Strewn with Human Bones. A Little Island Which Contains Many Elements of Historical Mystery. The Experience of Recent Visitors,""",Island of San Nicholas. The Lone Woman Who Was the Last of Her Race. A Broad Plateau Literally Strewn with Human Bones. A Little Island Which Contains Many Elements of Historical Mystery. The Experience of Recent Visitors,<i>Los Angeles Herald</i>,"39,",no. 152,12,March,1893,1893-03-12,7,Ayers & Lynch,,,,"Los Angeles, California",Public domain,,,,,,,
EdgefieldAdvertiser1847,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Edgefield (SC) Advertiser</i>,"12, ",no. 3,10,February,1847,1847-02-10,1,,,,,"Edgefield, South Carolina",Public domain,,,,,,,
EnglewoodTimes1905,newspaper-article,"[Frank Gassaway],","""Story of a Woman Crusoe. Unlike Defoe's Hero, Her End Is Pathetic in the Extreme,""","Story of a Woman Crusoe. Unlike Defoes Hero, Her End Is Pathetic in the Extreme",<i>Englewood (IL) Times</i>,"17,",no. 39,14,July,1905,1905-07-14,2,,,,,"Chicago, Illinois",Public domain,,,,,,,
ErieCountyIndependent1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Erie County (NY) Independent</i>,"46, ",no. 36,7,July,1921,1921-07-07,3,,,,,"Hamburg, New York",Public domain,,,,,,,
EveningNews1892,newspaper-article,,"""The Isle of Skulls,""",Isle of Skulls,<i>Sydney (AUS) Evening News</i>,,no. 7824,29,June,1892,1892-06-29,3,,,,,"Sydney, New South Wales, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
EveningStar1853,newspaper-article,"C.,","""A Female Crusoe,"" ",Female Crusoe ,<i>Washington (DC) Evening Star</i>,"2, ",no. 262,28,October,1853,1853-10-28,1,,,,,"Washington, DC",Public domain,,,,,,,
FayettevilleObserver1853,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Fayetteville (NC) Observer</i>,"3, ",no. 243,10,November,1853,1853-11-10,,,,,,"Fayetteville, North Carolina",Public domain,,,,,,,
FHDudley1901,newspaper-article,"F. H. Dudley, ","""The Tragedy of San Nicholas Island,""",Tragedy of San Nicholas Island,<i>Los Angeles Saturday Post</i>,"3,",no. 22,1,June,1901,1901-06-01,20,,,,,"Los Angeles, California",Public domain,,,,,,,
FortWorthDailyGazette1887,newspaper-article,,"""Two Indian Ghosts. A Lost Maiden, and a Chief Who Leaped from a Cliff,""","Two Indian Ghosts. A Lost Maiden, and a Chief Who Leaped from a Cliff",<i>Fort Worth (TX) Daily Gazette</i>,12,no. 200,15,February,1887,1887-02-15,5,,,,,"Forth Worth, Texas",,,,,,,,
GalenaWeeklyRepublican1921,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Galena (KS) Weekly Republican</i>,"45, ",no. 38,1,July,1921,1921-07-01,4,,,,,"Galena, Kansas",Public domain,,,,,,,
GalvestonDailyNews1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. The Story of 'The Lost Woman of San Nicolas'--Eighteen Years on a Dessert Island--How She Lived and Dressed,""",Feminine Crusoe. The Story of The Lost Woman of San Nicolas--Eighteen Years on a Dessert Island--How She Lived and Dressed,<i>Galveston (TX) Daily News</i>,"44, ",no. 44,7,June,1885,1885-06-07,5,,,,,"Galveston, Texas",Public domain,,,,,,,
GalvestonDailyNews1887,newspaper-article,,"""An Indian Ghost,""",Indian Ghost,<i>Galveston (TX) Daily News</i>,"45, ",no. 307,27,February,1887,1887-02-27,9,,,,,"Galveston, Texas",Public domain,,,,,,,
Gassaway1905,newspaper-article,"Frank Gassaway,","""Sea Otter Shooting. A California Coast Sport That is Full of Excitement and Silence,""",Sea Otter Shooting. A California Coast Sport That is Full of Excitement and Silence,<i>New York Field and Stream</i>,"10,",no. 2,,June,1905,1905-06-01,117-21,,,,,"New York, New York",Public domain,,,,,,,
Gassaway1905_ACFP,newspaper-article,"[Frank Gassaway],","""Story of a Woman Crusoe. Unlike Defoe's Hero, Her End Is Pathetic In the Extreme,"" ","Story of a Woman Crusoe. Unlike Defoes Hero, Her End Is Pathetic In the Extreme",<i>Adams County (IA) Free Press</i>,"23, ",no. 31,12,August,1905,1905-08-12,6,,,,,"Corning, Iowa",Public domain,,,,,,,
Gassaway1905_BA,newspaper-article,"[Frank Gassaway],","""Story of a Woman Crusoe. Unlike Defoe's Hero, Her End Is Pathetic in the Extreme,"" ","Story of a Woman Crusoe. Unlike Defoes Hero, Her End Is Pathetic in the Extreme",<i>Baltimore (MD) American</i>,"199, ",no. 86210,13,July,1905,1905-07-13,7,,,,,"Baltimore, Maryland",Public domain,,,,,,,
Gassaway1905_BDE,newspaper-article,"[Frank Gassaway],","""A Woman Crusoe,"" ",Woman Crusoe ,<i>Brooklyn (NY) Daily Eagle</i>,"66, ",no. 158,8,June,1905,1905-06-08,Picture Sec. 3,,,,,"Brooklyn, New York",Public domain,,,,,,,
Gassaway1905_BDH,newspaper-article,"Frank Gassaway,","""A Woman Crusoe,"" ",Woman Crusoe ,<i>Brownsville (TX) Daily Herald</i>,"13, ",no. 289,6,June,1905,1905-06-06,1,,,,,"Brownsville, Texas",Public domain,,,,,,,
Gassaway1905_DCJ,newspaper-article,"[Frank Gassaway],","""A Woman Crusoe,"" ",Woman Crusoe ,<i>Salem (OR) Daily Capital Journal</i>,"15, ",no. 176,28,July,1905,1905-07-28,5,,,,,"Salem, Oregon",Public domain,,,,,,,
Gassaway1905_KCS,newspaper-article,"[Frank Gassaway],","""Woman Crusoe in the Channel Islands,""",Woman Crusoe in the Channel Islands,<i>Kansas City (MO) Star</i>,"26, ",no. 2771,21,June,1905,1905-06-21,6,,,,,"Kansas City, Missouri",Public domain,,,,,,,
Gassaway1905_NA,newspaper-article,"[Frank Gassaway],","""Story of a Woman Crusoe,"" ",Story of a Woman Crusoe,<i>Nebraska Advertiser</i>,"50, ",no. 14,1,September,1905,1905-09-01,4,,,,,"Nemaha, Nebraska",Public domain,,,,,,,
Gassaway1905_TCR,newspaper-article,"[Frank Gassaway],","""A Woman Crusoe,"" ",Woman Crusoe ,<i>Chatham (NC) Record</i>,"28, ",no. 12,2,November,1905,1905-11-02,1,,,,,"Pittsboro, North Carolina",Public domain,,,,,,,
Gassaway1905_TFWS,newspaper-article,"[Frank Gassaway],","""Story of a Woman Crusoe,"" ",Story of a Woman Crusoe,<i>Fort Wayne (IN) Sentinel</i>,,,24,June,1905,1905-06-24,3,,,,,"Fort Wayne, Indiana",Public domain,,,,,,,
