number,publication,source_note,citation,article_id,citation_format,author,title,volume_number,issue_number,day,month,year,date,publisher,location,editor
242,St. Paul (MN) Daily News,"The St. Paul Daily News (1887-94) was a daily newspaper founded by W. R. Marshall, J. A. Wheelock, and N. Bradley out of St. Paul, Minnesota; it was the consolidation of the Times and the Minnesotian. Harlan P. Hall was the owner and editor in 1891. The paper eventually became the leading Republican paper in the state, with a circulation of about 14,000 in 1892. St. Paul (pop. 133,156 in 1890) was an industrial center, especially known for its meat-packing industries.","""About The St. Paul daily news. (St. Paul, Minn.) 1887-1894,"" Chronicling America, accessed June 22, 2016. ""Harlan P. Hall,"" Inland Printer 8 (1891): 653, eBook. Henry A. Casltle, History of St. Paul and Vicinity (Chicago: Lewis, 1912), accessed June 22, 2016, eBook. ""St. Paul Daily and Weekly News,"" Printers’ Ink 7, no. 20 (1892): 654, accessed June 22, 2016, eBook. U.S. Census Bureau, ""1890 Census,"" accessed June 22, 2016, PDF.",TheStPaulDailyNews1892,newspaper-article,,"""Covered with Skeletons. The Story of San Nicolas Island and Its Last Inhabitant.""","5th year,",,13,April,1892,1892-04-13,,"Saint Paul, Minnesota",
296,Christchurch (NZL) Star,"The Star (1868-current) is a newspaper founded by William Reeves, W.J.W. Hamilton, and T.W. Maude out of Christchurch, New Zealand; the paper was an evening edition for most of its life. In 1935, the Star combined with the Sun and became the Sun-Star. In 1938, the paper was back to being called the Star, and in 1991, it stopped daily publication, and is now a biweekly free paper. In 1876, Christchurch had a combined city/suburb population of 22,000, and its main industry was agriculture.","""Chirstchurch History,"" Christchurch and Canterbury, New Zealand, Christchurch and Canterbury Tourism 2012, accessed October 7, 2016, http://www.christchurchnz.com/destinations/christchurch/past/. ""Early Christchurch-A Brief History,"" Christchurch City Libraries, accessed October 7, 2016, Christchurch City Council, http://my.christchurchcitylibraries.com/christchurch-brief-history/#To-1900. Nick Tolerton, ""Vibrant Servant of the City and its People,"" The Star, Isuu, accessed October 7, 2016, https://issuu.com/the.star/docs/108275cs/2. ""The Star,"" Papers Past, National Library of New Zealand Te Puna Matauranga o Aotearoa, New Zealand Government, accessed October 7, 2016.",TheStar1879_Jun9,newspaper-article,,"""A Female Crusoe,""",,no. 3482,9,June,1879,1879-06-09,,"Christchurch, South Island, New Zealand",
296,Christchurch (NZL) Star,"The Star (1868-current) is a newspaper founded by William Reeves, W.J.W. Hamilton, and T.W. Maude out of Christchurch, New Zealand; the paper was an evening edition for most of its life. In 1935, the Star combined with the Sun and became the Sun-Star. In 1938, the paper was back to being called the Star, and in 1991, it stopped daily publication, and is now a biweekly free paper. In 1876, Christchurch had a combined city/suburb population of 22,000, and its main industry was agriculture.","""Chirstchurch History,"" Christchurch and Canterbury, New Zealand, Christchurch and Canterbury Tourism 2012, accessed October 7, 2016, http://www.christchurchnz.com/destinations/christchurch/past/. ""Early Christchurch-A Brief History,"" Christchurch City Libraries, accessed October 7, 2016, Christchurch City Council, http://my.christchurchcitylibraries.com/christchurch-brief-history/#To-1900. Nick Tolerton, ""Vibrant Servant of the City and its People,"" The Star, Isuu, accessed October 7, 2016, https://issuu.com/the.star/docs/108275cs/2. ""The Star,"" Papers Past, National Library of New Zealand Te Puna Matauranga o Aotearoa, New Zealand Government, accessed October 7, 2016.",TheStar1879_Oct25,newspaper-article,,"""A Female Crusoe,""",,no. 3601,25,October,1879,1879-10-25,,"Christchurch, South Island, New Zealand",
244,Steuben (NY) Farmers' Advocate,"The Steuben Farmers’ Advocate (1816-1938) was a weekly newspaper founded by Captain Benjamin Smead out of Bath, Steuben County, New York; it was originally named Steuben and Allegany Patriot. In 1822, the paper became the Farmer’s Advocate and Steuben Advertiser, and then adopted to its final name when it was sold to Perry S. Donahe in 1857. By 1860, Donahe had already sold the paper again, this time to Anthony L. Underhill, who remained connected to the paper for the next forty years. Underhill was a booster for the Democratic Party, and the paper followed suit. During Underhill’s reign, the paper was innovative in its printing techniques, becoming the first local paper to use the cylinder press, and the first to use steam power for both printing and folding. In 1880, the population of Bath was 7,396, and the main industries were agriculture and lumbering.","""About Steuben farmers’ advocate. (Bath, Steuben Co., N.Y.) 183?-1920,"" Chronicling America, accessed April 4, 2016. ""History,"" Town of Bath, accessed April 4, 2016. Irvin W. Near, A History of Steuben County, New York and its People (Chicago: Lewis, 1911), accessed April 4, 2016, eBook. U.S. Census Bureau, ""1880 Census,"" accessed April 4, 2016, PDF.",SteubenFarmersAdvocate1879,newspaper-article,,"""A Female Crusoe.""","64,",23,6,June,1879,1879-06-06,,"Bath, New York",
246,Suffolk County (NY) News,"The Suffolk County News (1884-current) is a weekly newspaper founded by Walter Burling out of Sayville, Suffolk County, New York; it was originally called the Sayville Weekly News but the name was changed in 1888. Long Island (NY)’s Suffolk County (pop. 110,246 in 1920) was known for its agriculture in the 1920s.","""About The Suffolk County news. (Sayville, N.Y.) 1888-current,"" Chronicling America, accessed July 25, 2016. ""About Us,"" Suffolk County News, accessed July 25, 2016. ""Suffolk County Profile,"" Rootsweb, accessed July 25, 2016. U.S. Census Bureau, ""1920 Census,"" accessed July 25, 2016, PDF.",TheSuffolkCountyNews1921,newspaper-article,,"""Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters.""","37,","9 (whole no. 1,900)",15,July,1921,1921-07-15,,"Sayville, New York",
247,Parsons (KS) Sun,"The Sun (1871-current) is a daily newspaper founded by Milton W. Reynolds and Leslie J. Perry out of Parsons, Kansas; for its first nine years, the Sun was printed as a weekly. H. H. Lusk was the editor and owner of the paper in the early 1900s. The town of Parsons was founded in 1871 when the railroad came through southeast Kansas; the railroad remained the town’s most significant employer into the first part of the twentieth century. Parsons had a population of 7,682 in 1900.","""About Us,"" Parsons Sun, accessed July 4, 2016. J. H. Leonard, ""Milton W. Reynolds,"" Kansas Memory, accessed July 4, 2016. Nelson Case, History of Labette County, Kansas (Topeka, KS: Crane, 1893), accessed July 4, 2016, eBook. Portrait and Biographical Record of Southeastern Kansas (Chicago: Biographical, 1894), accessed July 4, 2016, eBook. U.S. Census Bureau, ""1900 Census,"" accessed July 4, 2016, PDF.",Julian1901_TS,newspaper-article,"Julian, Edward.","""Stories Of Riches. They Came from All Parts of Our Wonderful Country. New Deposits of Precious Metals and Minerals Discovered in the Far West--The Wonders of San Nicolas.""","23,",219,21,November,1901,1901-11-21,,"Parsons, Kansas",
250,Elmira (NY) Telegram,"The Telegram (1879-1923) was a weekly Sunday newspaper founded by Charles Hazzard, James Hill, and Harry J. Brooks out of Elmira, New York. The Telegram was successful because the Sunday editions of the big New York City papers did not arrive in the region in time for the weekend. In the early 1900s, Telegram had an average circulation of 200,000. The southern New York town of Elmira had a population of 37,176 in 1901.","Jim Hare, ""Elmira History: Fire Destroyed Newspaper Building,"" Stargazzette, May 9, 2016, accessed July 17, 2016. U.S. Census Bureau, ""1910 Census,"" accessed July 17, 2016, PDF.",TheTelegram1913,newspaper-article,,"""Beautiful Santa Barbara an Out-of-Door Paradise.""",,,2,March,1913,1913-03-02,,"Elmira, New York",
251,Macon (GA) Telegraph And Messenger,"The Telegraph and Messenger (1869-85) was a weekly newspaper out of Macon, Georgia, originally edited by Joseph Clisby. It was formed by merging the Macon Telegraph (founded 1926) and the Journal and Messenger (founding date unclear). Striving for neutrality in its columns, the Republican Telegraph and Messenger stood directly opposed to the Democratic Atlanta Constitution. The Telegraph and Messenger had a weekly circulation of 1,728 in 1878. In the 1880s, Harry Stillwell Edwards took over the editorship and John Fletcher Hanson took over the ownership. Together they called for technical college in Georgia, which eventually led to the founding of the Georgia Institute of Technology. Macon had a population of 12,749 in 1880, and textile mills and agriculture (particularly peaches) were the main industries.","""About Daily journal and messenger. (Macon, Ga.) 18?? -1865,"" Chronicling America, accessed July 17, 2016. ""About the Macon Telegraph Archive,"" Georgia Historic Newspapers, accessed June 13, 2016. Joseph M. Flora, Amber Vogel eds., Southern Writers: A New Biographical Dictionary (Baton Rouge: Louisiana State University Press, 2006), accessed June 13, 2016, eBook. Nancy Briska Anderson, ""Macon,"" New Georgia Encyclopedia, last updated May 31, 2016, accessed June 13, 2016. .Pettengill’s Newspaper Directory and Advertisers’ Hand-book for 1878 (New York: S.M. Pettengill, 1878), accessed June 13, 2016, eBook. U.S. Census Bureau, ""1880 Census,"" accessed June 13, 2016, PDF. World Heritage Encyclopedia, ""John Fletcher Hanson,"" Kindle eBook Library, accessed June 13, 2016.",TheTelegraphAndMessenger1885,newspaper-article,,"""A Feminine Crusoe. Eighteen Years on a Dessert Island--How She Lived and Dressed.""","59,",26,29,May,1885,1885-05-29,,"Macon, Georgia",
297,Thames (NZL) Advertiser,"The Thames Advertiser and Miners’ News (1868-1912) was a newspaper founded by Englishmen William Wilkinson and Claude Corlett out of Thames, North Island, New Zealand; it started off with issues distributed tri-weekly, but soon switched to daily. The paper was targeted mainly at miners, as Thames was experiencing a gold rush in the late 1860s and early 1870s, and also at the general public who was flocking to Thames because of its prominence as a place of commerce.","""The Thames Advertiser,"" Papers Past, National Library of New Zealand Te Puna Matauranga o Aotearoa, New Zealand Government, accessed October 10, 2016.",ThamesAdvertiser1879,newspaper-article,,"""A Castaway,""","12,",no. 3356,2,July,1879,1879-07-02,,"Thames, North Island, New Zealand",
297,Thames (NZL) Advertiser,"The Thames Advertiser and Miners’ News (1868-1912) was a newspaper founded by Englishmen William Wilkinson and Claude Corlett out of Thames, North Island, New Zealand; it started off with issues distributed tri-weekly, but soon switched to daily. The paper was targeted mainly at miners, as Thames was experiencing a gold rush in the late 1860s and early 1870s, and also at the general public who was flocking to Thames because of its prominence as a place of commerce.","""The Thames Advertiser,"" Papers Past, National Library of New Zealand Te Puna Matauranga o Aotearoa, New Zealand Government, accessed October 10, 2016.",ThamesAdvertiser1892,newspaper-article,,"""The Isle of Skulls,""","25,",no. 7266,12,July,1892,1879-07-02,,"Thames, North Island, New Zealand",
306,Timaru (NZL) Herald,"The Timaru Herald (1864-current) is a daily newspaper founded by Alfred George Horton and Ingram Shrimpton out of Timaru, New Zealand; it was originally a weekly, became a biweekly when the telegraph reached town in 1865, and finally was printed daily in 1876. Scotsman Edward George Kerr ran the paper in the 1890s, and it had a circulation of around 3,100 in the early 1900s. Timaru is known for its portand local agriculture.","John Wilson, ""South Canterbury Region-Timaru and its Port,"" Te Ara: Encyclopedia of New Zealand, New Zealand Government, accessed October 16, 2016, http://www.teara.govt.nz/en/south-canterbury-region/page-6. Patrick Adam Day, ""Timaru Herald,"" The Making of the New Zealand Press (Wellington, NZ: Victoria University Press, 1990), accessed October 16, 2016, eBook. ""Press,"" Cyclopedia of New Zealand (Christchurch, NZ: Cyclopedia, 1903), accessed October 16, 2016, eBook. ""The Timaru Herald,"" Papers Past, National Library of New Zealand Te Puna Matauranga o Aotearoa, New Zealand Government, accessed October 16, 2016. ""Timeline of The Timaru Herald,"" The Timaru Herald, Fairfax Media, last updated September 10, 2013, accessed October 16, 2016, http://www.stuff.co.nz/timaru-herald/contact-us/about-us/7924419/Timeline-of-The-Timaru-Herald.",TheTimaruHerald1892,newspaper-article,,"""The Isle of Skulls,""","55,",no. 5455,4,July,1892,1892-07-04,,"Timaru, Canterbury, New Zealand",
299,Times of India,"The Times of India (1861-current) is a daily newspaper founded by Robert Knight out of Mumbai, India. It was a merger between the Bombay Times and Journal of Commerce (founded in 1838) and other papers in the city. In the late nineteenth century, the Times employed around 800 people. In the 1870s, Mumbai (then Bombay) was a prominent trade hub. The paper was British-owned until the 1940s.","""3rd November 1838: The Times of India, the Newspaper, was Founded,"" Maps of India, accessed October 12, 2016, http://www.mapsofindia.com/on-this-day/3rd-november-1838-the-times-of-india-the-newspaper-was-founded. Robin Jeffrey and Ronojoy Sen, Media at Work in China and India (New Delhi: SAGE Publications India, 2015), accessed October 12, 2016, eBook. ""Times of India,"" Encyclopedia Britannica, accessed October 12, 2016. ""Mumbai,"" Encyclopedia Britannica, accessed October 12, 2016.",TimesOfIndia1879,newspaper-article,,"""A Female Crusoe,""",,,27,March,1879,1879-03-27,,"Mumbai, Maharashtra, India",
299,Times of India,"The Times of India (1861-current) is a daily newspaper founded by Robert Knight out of Mumbai, India. It was a merger between the Bombay Times and Journal of Commerce (founded in 1838) and other papers in the city. In the late nineteenth century, the Times employed around 800 people. In the 1870s, Mumbai (then Bombay) was a prominent trade hub. The paper was British-owned until the 1940s.","""3rd November 1838: The Times of India, the Newspaper, was Founded,"" Maps of India, accessed October 12, 2016, http://www.mapsofindia.com/on-this-day/3rd-november-1838-the-times-of-india-the-newspaper-was-founded. Robin Jeffrey and Ronojoy Sen, Media at Work in China and India (New Delhi: SAGE Publications India, 2015), accessed October 12, 2016, eBook. ""Times of India,"" Encyclopedia Britannica, accessed October 12, 2016. ""Mumbai,"" Encyclopedia Britannica, accessed October 12, 2016.",TimesOfIndia1892,newspaper-article,,"""The Isle of Skulls,""",,,13,June,1892,1892-06-13,,"Mumbai, Maharashtra, India",
257,Alexandria (IN) Times-Tribune,"The Times-Tribune (1903-current) is a newspaper originally out of Alexandria, Indiana, a town just north of Indianapolis. The newspaper was formed when the Times Company combined the Times (founded in 1885) and the Tribune (founded in 1898) to form the new paper, both of which were founded by Thomas French. French was instrumental in encouraging natural gas speculation in the area, which which ultimately drew manufacturors, including glassmakers, to set up business in the area. A population boom followed as the city grew from  from 715 in 1890 to 7,221 in 1900. Today, the Times-Tribune is a weekly published out of Elwood, Indiana, ten miles west of Alexandria.","""About The Alexandria times-tribune. (Elwood, IN) 1992-current,"" Chronicling America, accessed July 11, 2016. ""Alexandria Times-Tribune,"" Indiana Historical Society, accessed July 11, 2016, PDF. ""Glass History,"" Glass Trail, accessed July 11, 2016. U.S. Census Bureau, ""1890 Census,"" accessed July 11, 2016, PDF. U.S. Census Bureau, ""1900 Census,"" accessed July 11, 2016, PDF.",Gassaway1905_TTT,newspaper-article,"Gassaway, Frank.","""Story of a Woman Crusoe.""","5th year,",291,7,August,1905,1905-08-07,,"Elwood, Indiana",
254,Times (London),"The Times (1785-current) is a daily newspaper out of London, England, United Kingdom, founded by John Walter; it was originally called the The Daily Universal Register, but the paper changed names in 1788. The Times had remarkable editors throughout the 1800s: from Thomas Barnes (1817-41), who brought the independent paper into the public eye, to John T. Delane, who changed the way newspapers cover war by creating a war correspondent position. The circulation of the paper increased during the first half of the nineteenth century to 40,000 in 1850, but the last half of the century produced a decline in circulation. Today, the London Times is considered a newspaper of record.","Editors of Enclyopædia Britannica, ""The Times,"" Enclyopædia Britannica, accessed April 12, 2016. John Simkin, ""The Times,"" Spartacus Educational, accessed April 12, 2016.",TheTimes1879,newspaper-article,,"""A Female Crusoe.""",,"29,506",4,March,1879,1879-03-04,,"London, England, United Kingdom",
255,Philadelphia Times,"The Times (1875-1902) was a daily newspaper founded by Alexander McClure and Frank McLaughlin out of Philadelphia, Pennsylvania. Though McClure was a strong Republican during the Civil War, supporting Lincoln and holding various political offices himself, the paper did not have a political affiliation. The Times had a circulation of 40,000 in 1878. Philadelphia (pop. 847,170 in 1880) was becoming known for its many different manufacturing industries in the latter part of the 19th century.","""About The times. (Philadelphia, Pa.) 1875-1902,"" Chronicling America, accessed June 14, 2016. .Damon M. Laabs, ""McClure,Alexander Kelly,"" Pennsylvania Center for the Book, last updated 2006, accessed June 4, 2016. Pettengill’s Newspaper Directory and Advertisers’ Hand-book for 1878 (New York: S.M. Pettengill, 1878), accessed June 14, 2016, eBook. Philip B. Scranton, ""Philadelphia’s Industrial History: Context and Overview,"" Workshop of the World–Philadelphia, last updated 1990, accessed June 14, 2016. U.S. Census Bureau, ""1880 Census,"" accessed June 14, 2016, PDF.",TheTimes1885,newspaper-article,,"""A Feminine Crusoe. Eighteen Years on a Desert Island--How She Lived and Dressed.""",,"3,532",16,May,1885,1885-05-16,,"Philadelphia, Pennsylvania",
255,Philadelphia Times,"The Times (1875-1902) was a daily newspaper founded by Alexander McClure and Frank McLaughlin out of Philadelphia, Pennsylvania. Though McClure was a strong Republican during the Civil War, supporting Lincoln and holding various political offices himself, the paper did not have a political affiliation. The Times had a circulation of 40,000 in 1878. Philadelphia (pop. 847,170 in 1880) was becoming known for its many different manufacturing industries in the latter part of the 19th century.","""About The times. (Philadelphia, Pa.) 1875-1902,"" Chronicling America, accessed June 14, 2016. .Damon M. Laabs, ""McClure,Alexander Kelly,"" Pennsylvania Center for the Book, last updated 2006, accessed June 4, 2016. Pettengill’s Newspaper Directory and Advertisers’ Hand-book for 1878 (New York: S.M. Pettengill, 1878), accessed June 14, 2016, eBook. Philip B. Scranton, ""Philadelphia’s Industrial History: Context and Overview,"" Workshop of the World–Philadelphia, last updated 1990, accessed June 14, 2016. U.S. Census Bureau, ""1880 Census,"" accessed June 14, 2016, PDF.",TheTimes1899,newspaper-article,,"""To Explore the Channel Islands.""",,"8,610",30,April,1899,1899-04-30,,"Philadelphia, Pennsylvania",
259,Topeka (KS) Daily Capital,"The Topeka Daily Captial (1879-1980) was a daily newspaper founded by Joseph Kennedy Hudson and E. E. Ewing. They used the first electric motor printing press in the country. Arthur Capper had taken over the Daily Capital by 1904. The paper had a circulation of 30,000 by 1909. Topeka was growing as a railroad city during the beginning of the Topeka Daily Captial; its population increased from just 15,452 in 1880 to 43,684 in 1910.","""The Capital-Journal’s Roots Run Deep,"" Topeka Capital-Journal, last updated June 1, 2003, accessed June 14, 2016. ""History of Topeka, Kansas,"" United States History, accessed June 14, 2016. Jan Biles, ""Arthur Capper: His legacy lives on,"" Topeka Capital-Journal, last updated October 5, 2003, accessed June 14, 2016. Kansas State Historical Society, Biennial Report, Volume 20 (Topeka: Society, 1916) accessed June 14, 2016, eBook. Marketing Communications, Volume 66 (n.p.: n.p., 1909), accessed June 14, 2016, eBook. U.S. Census Bureau, ""1880 Census,"" accessed June 14, 2016, PDF. U.S. Census Bureau, ""1910 Census,"" accessed June 14, 2016, PDF.",TheTopekaDailyCapital1885,newspaper-article,,"""A Feminine Crusoe. How She Lived Eighteen Years On A Desert Island. The Story of the Lost Woman of San Nicolas--Her Ingenuity and Fertility of Invention--A Wonderful History.""","7,",142,17,June,1885,1885-06-17,,"Topeka, Kansas",
259,Topeka (KS) Daily Capital,"The Topeka Daily Captial (1879-1980) was a daily newspaper founded by Joseph Kennedy Hudson and E. E. Ewing. They used the first electric motor printing press in the country. Arthur Capper had taken over the Daily Capital by 1904. The paper had a circulation of 30,000 by 1909. Topeka was growing as a railroad city during the beginning of the Topeka Daily Captial; its population increased from just 15,452 in 1880 to 43,684 in 1910.","""The Capital-Journal’s Roots Run Deep,"" Topeka Capital-Journal, last updated June 1, 2003, accessed June 14, 2016. ""History of Topeka, Kansas,"" United States History, accessed June 14, 2016. Jan Biles, ""Arthur Capper: His legacy lives on,"" Topeka Capital-Journal, last updated October 5, 2003, accessed June 14, 2016. Kansas State Historical Society, Biennial Report, Volume 20 (Topeka: Society, 1916) accessed June 14, 2016, eBook. Marketing Communications, Volume 66 (n.p.: n.p., 1909), accessed June 14, 2016, eBook. U.S. Census Bureau, ""1880 Census,"" accessed June 14, 2016, PDF. U.S. Census Bureau, ""1910 Census,"" accessed June 14, 2016, PDF.",Gassaway1905_TTDC,newspaper-article,"Gassaway, Frank.","""Woman Crusoe Dies Insane.""","29,",174,23,July,1905,1905-07-23,,"Topeka, Kansas",
261,St. Joseph (MI) Traveler-Herald,"The Traveler-Herald (1874-85) was a weekly Republican newspaper founded by Horace W. Guernsey in St. Joseph, Michigan; he merged two local papers, the Herald and Traveler. Leonard J. Merchant was the editor and publisher in 1882, when the paper had a circulation of over 500. The population in St. Joseph at this time was 2,994. The town was known as a resort as it sat on the coastline of Lake Michigan, and also had a very prominent fruit packaging industry.","""About St. Joseph traveler and herald. (St. Joseph, Mich.) 1874-1885,"" Chronicling America, accessed April 17, 2016. Damon A. Winslow, History of St. Joseph, Michigan (St. Joseph, MI: A.B. Morse), accessed April 17, 2016, eBook. Elaine Cotsirilos Thomopoulos, St. Joseph and Benton Harbor (Charleston, SC: Arcadia, 2003), accessed April 17, 2016, eBook.George P. Rowell & CO’s American Newspaper Directory (New York: George P. Rowell, 1882), accessed April 17, 2016, eBook. ""The Riviera of the Midwest,"" City of St. Joseph, accessed April 17, 2016.",Hardacre1880_TH,newspaper-article,"Hardacre, Emma.","""Eighteen Years Alone. A Tale of the Pacific.""",,,18,September,1880,1880-09-18,,"Saint Joseph, Michigan",
262,Troy (NY) Daily Times,"The Troy Daily Times (1851-1903) was a daily Republican newspaper founded by John Morgan Francis out of Troy, New York. Its primary focus was state and local news, and it had a circulation of around 3,000 in 1878. Troy (pop. 56,747 in 1880) was a transportation hub located on the Hudson River and had a prominent cuff and collar industry.","""About The Troy daily times. (Troy [N.Y.]) 1851-1903,"" Chronicling America, accssed April 17, 2016. Irving Browne, ed., The Albany Law Journal (Albany: Weed, Parsons, 1879), accessed April 17, 2016, eBook. James S. Corsaro and Kathleen D. Roe, Gerald Zahavi and Susan McCormick, eds., ""Labor and Industry in Troy and Cohoes: A Brief History,"" University at Albany, accessed April 17, 2016. Michael A. Esposito, Troy’s Little Italy (Charleston, SC: Arcadia, 2009), accessed April 17, 2016, eBook. Pettengill’s Newspaper Directory and Advertiser’s Hand-book for 1878 (New York: S.M. Pettengill, 1878), accessed April 17, 2016, eBook. ""Troy History,"" Conservatory, accessed April 17, 2016. U.S. Census Bureau, ""1880 Census,"" accessed April 17, 2016, PDF.",Hardacre1880_TTDT,newspaper-article,"Hardacre, Emma Chamberlain.","""Eighteen Years Alone. A Tale of the Pacific.""","30,",67,11,September,1880,1880-09-11,,"Troy, New York",
263,Troy (NY) Record,"The Troy Record (1896-current) is a daily newspaper founded by the Troy Record Company out of Troy, New York. Dwight Marvin was the editor from 1915 until 1958. Troy, a city just northeast of Albany, had a population of 72,311 in 1950.","""About The record. (Troy, N.Y.) 1988-current,"" Chronicling America, accessed August 2, 2016.  A.L. Miller, ""The Editorial Page of Tomorrow,"" Univeristy of Michigan Official Publication 41, no. 68 (1940): 32, accessed August 2, 2016, eBook. ""Dwight Marvin Had Outstanding Career,"" The Troy Record, April 12, 1971, accessed August 1, 2016. George Baker Anderson, Landmarks of Rensselaer County, New York (Syracruse, NY: D. Mason, 1897), accessed August 2, 2016, eBook. U.S. Census Bureau, ""1950 Census,"" accessed August 2, 2016, PDF.",TheTroyRecord1953,newspaper-article,,"""California Island Yields Indian Lore.""","Series 1953,",240,7,October,1953,1953-10-07,,"Troy, New York",
264,"Upper Des Moines (Algona, IA)","The Upper Des Moines (1865-current) is a weekly newspaper founded by Lizzie Read out of Algona, Iowa; however, she was soon bought out by J. H. Warren. Harvey Ingham was the editor and owner in the 1890s until 1902 when he sold the paper to merge it with the Republican to form the Upper Des Moines Republican. Today, the paper goes by the name Algona Upper Des Moines. Algona had a population of 2,068 in 1890.","""About The Algona upper Des Moines. (Algona, Iowa) 1933-current,"" Chronicling America, accessed June 22, 2016. Benjamin F. Reed, History of Kossuth County, Iowa (Chicago: S. J. Clarke, 1913), accessed June 22, 2016, eBook. History of Kossuth, Hancock and Winnebago Counties, Iowa (Springfield, IL: Union, 1894), accessed August 2, 1060, eBook. Johnson Brigham, Des Moines (Chicago, S. J. Clarke, 1911), accessed June 22, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 22, 2016, PDF.",TheUpperDesMoines1892,newspaper-article,,"""The Isle Of Skulls. A Woman's Lonely Life--Surrounded by the Bones of Her Tribe.""","27,",5,27,April,1892,1892-04-27,,"Algona, Iowa",
265,Utica (NY) Daily Observer,"The Utica Daily Observer (1848-84) was a daily paper founded by Eliasaph Dorchester out of Utica, New York. The paper originated as the weekly  Observer, but the daily was created in 1848. Dewitt C. Grove became the editor in 1852 when the Observer combined with the Democrat, and he held that position for the next thirty years. During this time, he also took on E. Prentiss Bailey as a partner, and Bailey succeeded him as editor. During the next 75 years, Baileys would work for the Utica Daily Observer. The paper had a circulation of 3,500 in 1876; the city was known as a trade hub.","""About Utica daily observer. (Utica, N.Y.) 848-1884,"" Chronicling America, accessed April 4, 2016. Bob Mundrick, ed., A History of the Observer Dispatch, accessed April 5, 2016, PDF. C. A. Cook & Co.’s United States Newspaper Directory (Chicago: C. A. Cook, 1876), accessed April 5, 2016, eBook. M.M. Bagg, ed., Memorial History of Utica (Syracuse, NY: D. Mason, 1892), accessed April 5, 2016, eBook.",UticaDailyObserver1879,newspaper-article,,"""A Feminine Crusoe. A Strange Tale from the Pacific Ocean.""","31,",245,19,February,1879,1879-02-19,Grove & Bailey,"Utica, New York",Harold Frederic
265,Utica (NY) Daily Observer,"The Utica Daily Observer (1848-84) was a daily paper founded by Eliasaph Dorchester out of Utica, New York. The paper originated as the weekly  Observer, but the daily was created in 1848. Dewitt C. Grove became the editor in 1852 when the Observer combined with the Democrat, and he held that position for the next thirty years. During this time, he also took on E. Prentiss Bailey as a partner, and Bailey succeeded him as editor. During the next 75 years, Baileys would work for the Utica Daily Observer. The paper had a circulation of 3,500 in 1876; the city was known as a trade hub.","""About Utica daily observer. (Utica, N.Y.) 848-1884,"" Chronicling America, accessed April 4, 2016. Bob Mundrick, ed., A History of the Observer Dispatch, accessed April 5, 2016, PDF. C. A. Cook & Co.’s United States Newspaper Directory (Chicago: C. A. Cook, 1876), accessed April 5, 2016, eBook. M.M. Bagg, ed., Memorial History of Utica (Syracuse, NY: D. Mason, 1892), accessed April 5, 2016, eBook.",UticaObserver1885,newspaper-article,,"""A Feminine Crusoe. How She Lived Eighteen Years On a Desert Island. The Story of the Lost Woman of San Nicolas--Her Ingenuity and Fertility of Invention--A Wonderful History.""","38,",42,13,June,1885,1885-06-13,E.P. Bailey & Co.,"Utica, New York",
300,Wagga Wagga (AUS) Advertiser,"The Wagga Wagga Advertiser or Daily Advertiser (1868-current) is a newspaper founded by Thomas Darlow and Auber George Jones, both rich pastoralists, out of Wagga Wagga, New South Wales, Australia. The paper was originially a biweekly but progressed to a daily in 1910. The paper was founded to promote Wagga Wagga, provide local agricultural news, and to inform the public about broader world news in general, which was provided via telegraph. Another appeal of the Advertiser was the high quality paper it was printed on. The railway reached Wagga Wagga in 1879, which allowed the town to expand.","""About Us,"" The Advertiser, Fairfax Media, accessed October 12, 2016, http://www.dailyadvertiser.com.au/about-us/. ""History Timeline,"" Wagga Wagga, Wagga Wagga City Council website, accessed October 12, 2016. ""The Wagga Daily Advertiser Pty Ltd.,"" Charles Sturt University, Regional Archives Online Guide, accessed October 12, 2016, https://www.csu.edu.au/research/archives/collection/regional/agencies/dailyadv.",TheWaggaWaggaAdvertiser1879,newspaper-supplement-article,,"""A Female Crusoe,""","9,",no. 414,7,May,1879,1879-05-07,,"Wagga Wagga, New South Wales, Australia",
301,Warwick (AUS) Examiner and Times,"The Warwick Examiner and Times (1864-1919) was a newspaper founded by George Clark out of Warwick, Queensland, Australia; it was originally a tri-weekly, but changed to printing biweekly in the 1880s. Clark started the paper in order to espouse his pro-squatter views locally. The paper was merged with the Warwick Argus in 1919 to form the Dily News. The Warwick area, and founder George Clark, were known for prominence in wool production.","""About Us,"" Warwick Daily News, Australian Regional Media, accessed October 12, 2016, http://www.warwickdailynews.com.au/aboutus/. Pugh’s Queensland’s Almanac (Brisbane, Queensland: William Thorne, 1887), accessed October 12, 2016, eBook. ""Talgai Homestead,"" Australian e-Heritage Portal, University of Queensland, accessed October 12, 2016, http://eheritage.metadata.net/record/QLD-600006.",TheWarwickExaminerAndTimes1879,newspaper-article,,"""A Female Crusoe,""","13,",no. 624,24,May,1879,1879-05-24,,"Warwick, Queensland, Australia",
