,"Publication Title 

(Do not put <i> or </i>)",Source Note,Source Note Citation Information,Documents,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

book-entire, book-chapter/section, book-edition, book-pamphlet, book-report/report section, journal-article, magazine-article, newspaper-article, newspaper-figure, newspaper-supplement-article, newspaper-newsletter-article, review-book, review-film, review-sound recording-transcription, personal communication, thesis/dissertation, manuscript, blog/website",Author Name,Article Title,Volume Number,Issue Number,Day,Month,Year,Standardized Date (yyyy-mm-dd),"Publisher 

(required for monograph)","Place of Publication

for maps on website

also for browse by publication location feature",Editor
id,publicationtitle,note,bibl,documents,,,,,,,,,,,,
295,St. John's (CAN) Public Ledger,"<i>St. John’s Public Ledger</i> (1827-82) was a semi-weekly newspaper founded by Henry Winton out of St. John’s, Newfoundland, Canada. Winton was very outspoken about his anti-catholic beliefs, which led to physical attacks against him that ultimately ended in someone cutting off part of his ears. His son, also Henry Winton, took over the paper in the 1850s. St. John’s was a growing city in the 1870s and had many different small-cale manufacturing industries.","Philip Tocque, ""Chapter XVI: Population, Religion, and Education,"" <i>Newfoundland: As It Was, and As It Is in 1877</i> (Toronto: John B. Magurn, 1878), accessed October 6, 2016, eBook. Shannon Ryan, ""Newspapers,"" <i>The Ice Hunters: A History of Newfoundland Sealing to 1914</i> (St. John’s, NF: Breakwater, 1994), accessed October 6, 2016. ""St. John’s,"" <i>Historica Canada</i>, Anthony Wilson Smith, accessed October 6, 2016, http://www.thecanadianencyclopedia.ca/en/article/st-johns/. William Wilson, ""Literature,"" <i>Newfoundland and its Missionaries</i> (Cambridge, MA: Dakin and Metcalf, 1866), accessed October 6, 2016, eBook.",ThePublicLedger1879,newspaper-article,,"""A Female Robinson Crusoe,"" ","5,",no. 30,30,May,1879,1879-05-30,F. W. Bowden,"St. John's, Newfoundland, Canada",
324,The Dawn: A Journal for Australian Women,"<i>The Dawn: A Journal for Australian Women</i> (1888-1905) was a monthly suffragist publication that was founded and published by Louisa Lawson (pen name for Dora Falconer) out of New South Wales, Australia. The newspaper provided a forum for women’s political writing but also published articles on various aspects of women’s lives, including childrearing and cooking. Its primary audience was working class women, and it circulated rurally in rural as well as urban areas.","Annie Holden Ronning, ""Louisa Lawson and the Woman Question,"" <i>Coolabah</i> no. 26 (2015): 74-86, PDF.",TheDawn1881,journal-article,"[Fred Spalding Witter],","""A Female Robinson Crusoe,""",8,no. 3,1,July,1895,1895-07-01,,"Sydney, New South Wales, Australia",
260,Touring Topics,"<i>Touring Topics</i> (1909-current) is a magazine founded by the Auto Club of Southern California and is distributed to its members. The magazine originally focused on automobiles exclusively, and it called for the improvement of local roads and road signs. When Phil Townsend Hanna became the editor of <i>Touring Topics</i> in 1926, the magazine expanded its coverage into the arts, featuring literary pieces and landscapes by local artists, and also travel and tourism, promoting the West Coast as superior to the East Coast for living and for business. In 1934, the publication’s name was changed to <i>Westways</i> to reflect the magazine’s new focus.","Christopher Smith, ""Westways Magazine Celebrates a Century of Car Culture,"" <i>Los Angeles Times</i>, February 23, 2009, accessed July 25, 2016. John Crosse, ""Touring Topics/Westway: The Phil Townsend Hanna and ‘Scenic View Ahead: The Westwats Cover Art Program, 1928-1981,"" <i>Southern California Architectural History</i>, accessed July 25, 2016.",Wolfe1928,magazine-article,"Wolfe, Gordon.","""The Lost Woman of San Nicolas.""","20,",7,,,1928,1928-01-01,,"Los Angeles, California",
165,Nebraska Advertiser,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/2010270508/"">
Chronicling America: Historic American Newspapers</a> webpage.",,Gassaway1905_NA,newspaper-article,"Gassaway, Frank. ","""Story of a Woman Crusoe."" ","50, ",14,1,September,1905,1905-09-01,,"Nemaha, Nebraska",
91,Dearborn (MI) Independent,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/ca22000047/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheDearbornIndependent1920,newspaper-article,,"""Homes of Prehistoric Folk to Be Explored."" ",,,31,July,1920,1920-07-31,,"Dearborn, Michigan ",
211,Sacramento Daily Union,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn82014381/"">Chronicling America: Historic American Newspapers</a> webpage.",,"SacramentoDailyUnion1853_Nov1
SacramentoDailyUnion1853_Nov15
SacramentoDailyUnion1856","newspaper-article
newspaper-article
newspaper-article",,"""The Wild Woman of California."" 
""Wild Woman of San Nicholas."" 
""Further Particulars of the California Crusoe.""","6, 
6
N/A","813
825
N/A","1
15
29","November
November
December","1853
1853
1856","Tue Nov 01 1853 07:56:02 GMT+0300 (EAT)
Tue Nov 15 1853 07:56:02 GMT+0300 (EAT)
Mon Dec 29 1856 07:56:02 GMT+0300 (EAT)","N/A
N/A
E.G. Jefferis & Co.","Sacramento, California
Sacramento, California
Sacramento, California",
212,Sacramento Daily Record-Union,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn82014381/"">Chronicling America: Historic American Newspapers</a> webpage.",,SacramentoDailyRecordUnion1881,newspaper-article,,"""In the Art Loan Exhibition at Santa Barbara..."" ",,,19,February,1881,1881-02-19,,"Sacramento, California",
196,Franklin (LA) Planters' Banner,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn82014431/"">
Chronicling America: Historic American Newspapers</a> webpage.",,PlantersBanner1853,newspaper-article,,"""A Female Crusoe."" ",,,17,November,1853,1853-11-17,,"Franklin, Louisiana",E.C. Kemble & J.E. Dnrivage
335,Wichita (KS) Daily Eagle,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn82014635/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheWichitaDailyEagle1892,newspaper-article,,"""The Isle of Skulls. A Woman's Lonely Life Surrounded by the Bones of Her Tribe,""",16,no. 138,26,April,1892,1892-04-26,,"Wichita, Kansas",
330,Barber County (KS) Index,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn82015080/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheBarberCountyIndex1887,newspaper-article,,"""A Mountain Mystery. The Strange Apparition Seen by Two Veracious California Hunters,""",7,no. 44,30,March,1887,1887-03-30,,"Medicine Lodge, Kansas",
197,Honolulu Polynesian,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn82015413/"">
Chronicling America: Historic American Newspapers</a> webpage.",,ThePolynesian1847,newspaper-article,,"""A Female Crusoe."" ","4, ",12,7,August,1847,1847-08-07,,"Honolulu, Hawaii",
314,New Orleans (LA) Daily Crescent,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn82015753/"">
Chronicling America: Historic American Newspapers</a> webpage.",,NewOrleansDailyCrescent1857,newspaper-article,"C. J. W. Russell,","""A California Crusoe. Narrative of a Woman Who Lived Eighteen Years Alone on San Nicolas Island,""",9,no. 279,26,January,1857,1857-01-26,,"New Orleans, Louisiana",
245,Washington (DC) Suburban Citizen,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn82016357/"">
Chronicling America: Historic American Newspapers</a> webpage.",,MEDudley1901_TSC,newspaper-article,"Dudley, M. E. ","""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast."" ","13, ",41,2,November,1901,1901-11-02,,"Washington, DC",
322,Millheim (PA) Journal,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83008556/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheMillheimJournal1879,newspaper-article,,"""A Female Crusoe,""",53,no. 48,4,December,1879,1879-12-04,,"Millheim, Pennsylvania",
167,New York Daily Tribune,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83030214/"">
Chronicling America: Historic American Newspapers</a> webpage.",,"NewYorkDailyTribune1847
NewYorkDailyTribune1893","newspaper-article
newspaper-article",,"""A Female Crusoe.""
""Personal."" ","6,
53, ","243
17,048","18
19","January
July","1847
1893","Mon Jan 18 1847 07:56:02 GMT+0300 (EAT)
Wed Jul 19 1893 08:00:00 GMT+0300 (EAT)","Greeley & McElrath
N/A","New York, New York
New York, New York","Horace Greeley
N/A"
248,New York Sun,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83030272/"">
Chronicling America: Historic American Newspapers</a> webpage.",,"TheSun1892
TheSun1896
",newspaper-article,,"""Golgotha In the Pacific. An Expedition Now Exploring the Channel Islands. Mystery of a Group of Islands On the Pacific Coast-The Lone Woman of San Nicolas, the Last of Her Race-Skeletons of Gianta Whose Story is Unknown."" ","64, ",34,4,October,1896,1896-10-04,,"New York, New York ",
48,Cambria (PA) Freeman,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83032041/"">
Chronicling America: Historic American Newspapers</a> webpage.",,"CambriaFreeman1879
CambriaFreeman1880
CambriaFreeman1885","newspaper-article
newspaper-article
newspaper-article",,"""A Female Robinson Crusoe."" 
""An Indian Female Crusoe. The Strange Story of a Woman Who Lived Eighteen Years Alone On an Island in the Pacific.""
""A Female Crusoe."" ","13, 
14,
19, ","9
35
22","21
24
3","March
September
July","1879
1880
1885","Fri Mar 21 1879 07:56:02 GMT+0300 (EAT)
Fri Sep 24 1880 07:56:02 GMT+0300 (EAT)
Fri Jul 03 1885 08:00:00 GMT+0300 (EAT)","N/A
Henry A. McPike
N/A","Ebensburg, Pennsylvania
Ebensburg, Pennsylvania
Ebensburg, Pennsylvania","N/A
Henry A. McPike
N/A"
331,Ravenna (OH) Democratic Press,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83035083/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheDemocraticPress1887,newspaper-article,,"""A Mountain Mystery,""",19,"no. 30
",3,March,1887,1887-03-03,,"Ravenna, Ohio",
198,Revenna (OH) Portage Sentinel,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83035101/"">
Chronicling America: Historic American Newspapers</a> webpage.",,ThePortageSentinel1853,newspaper-article,,"""A Female Robinson Crusoe.""","9, ",27,28,December,1853,1853-12-28,,"Revenna, Ohio",
13,New Lisbon (OH) Anti-Slavery Bugle,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83035487/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheAntiSlaveryBugle1853,newspaper-article,C.,"""A Female Crusoe.""",,,3,December,1853,1853-12-03,Ohio American Antislavery Society,"New-Lisbon, Ohio",Marius R. Robinson
317,Memphis (TN) Daily Appeal,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83045160/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheMemphisDailyAppeal1857,newspaper-article,"C. J. W. Russell,","""A California Crusoe. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicolas,""",8,no. 3,24,April,1857,1857-04-24,"M'Clanahan, Hutton & Co.","Memphis, Tennessee",
216,Salt Lake (UT) Tribune,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83045396/"">Chronicling America: Historic American Newspapers</a> webpage.",,"Gassaway1905_TSLT
TheSaltLakeTribune1910","newspaper-article
review-book","Gassaway, Frank. 
N/A","""Story of a Woman Crusoe."" 
""The Attractive Isles. The Channel Islands of California: a Book for the Angler, Sportsman, and Tourist. By Charles Frederick Holder With Nearly 150 Illustrations from Photographs, and Twelve Maps, Published by A. C. McClurg & Co., Chicago.""","71, 
81,","100
59","23
12","July
June","1905
1910","Sun Jul 23 1905 08:00:00 GMT+0300 (EAT)
Sun Jun 12 1910 08:00:00 GMT+0300 (EAT)","N/A
Salt Lake Tribune Publishing Co.","Salt Lake City, Utah
Salt Lake City, Utah",
95,Salt Lake City Deseret Evening News,"A Source Note for this publication can be found on the Library of Congress' <a href=""http://chroniclingamerica.loc.gov/lccn/sn83045555/"">
Chronicling America: Historic American Newspapers</a> webpage.",,TheDeseretEveningNews1900,newspaper-article,,"""An Isle of Skulls. California Islands That Were Once Inhabited by a Race now Extinct--Awful Desolation of Spot Which Once Supported Life."" ","52nd year, ",16,8,December,1900,1900-12-08,,"Salt Lake City, Utah",
